dim;train_accuracy;test_accuracy;time;tag
5;0.4609;0.4338;24.92493486404419;hog
10;0.66275;0.6487;25.24704575538636;hog
15;0.7157166666666667;0.7073;25.060683012008667;hog
20;0.7578166666666667;0.7456;25.128491401672363;hog
25;0.7920666666666667;0.7851;25.530254364013672;hog
30;0.8353;0.8289;25.393649339675903;hog
35;0.8522166666666666;0.8486;25.82156729698181;hog
40;0.87595;0.8729;25.348170042037964;hog
45;0.8729;0.8679;25.67724323272705;hog
50;0.88635;0.8877;25.573350429534912;hog
60;0.8999333333333334;0.8974;25.66845202445984;hog
70;0.9041666666666668;0.9046;25.855488300323486;hog
80;0.9151833333333332;0.9132;25.733498096466064;hog
90;0.9167833333333332;0.9138;26.065468788146973;hog
100;0.9184166666666668;0.9189;26.09102249145508;hog
125;0.9209333333333334;0.919;26.56615447998047;hog
150;0.9227;0.9199;26.865104913711548;hog
175;0.9227;0.9201;27.27499866485596;hog
200;0.9227666666666666;0.9205;27.193767547607425;hog
250;0.9233166666666668;0.922;27.842707872390747;hog
300;0.92205;0.9212;28.99968361854553;hog
400;0.9220333333333334;0.9204;29.881097316741943;hog
500;0.9223333333333332;0.9209;31.120035648345947;hog
600;0.9228833333333334;0.9218;32.9157235622406;hog
700;0.9226833333333332;0.9192;34.785287618637085;hog
784;0.9220833333333334;0.9208;36.91745376586914;hog
912;0.9226666666666666;0.9215;37.39262390136719;hog
5;0.3721166666666666;0.3525;24.89912962913513;normal
10;0.5721333333333334;0.5547;25.14920473098755;normal
15;0.5963833333333334;0.586;25.3338942527771;normal
20;0.6674;0.6582;25.07536268234253;normal
25;0.6831666666666667;0.6814;25.58230710029602;normal
30;0.7515166666666667;0.7437;25.44866633415222;normal
35;0.7458833333333333;0.7393;25.939583778381348;normal
40;0.7726833333333334;0.7761;25.959925651550293;normal
45;0.7980166666666667;0.7927;28.792734384536743;normal
50;0.7978333333333333;0.794;28.886048793792725;normal
60;0.824;0.8295;29.042022705078125;normal
70;0.8324;0.8268;29.169384956359863;normal
80;0.84525;0.8406;29.25856184959412;normal
90;0.8441666666666666;0.8445;29.53543472290039;normal
100;0.8526666666666667;0.8548;29.40295124053955;normal
125;0.8579166666666667;0.8573;29.89459538459778;normal
150;0.8645;0.8651;29.498230934143063;normal
175;0.8666166666666667;0.8664;30.229496240615845;normal
200;0.8703666666666666;0.8712;30.62736868858337;normal
250;0.87265;0.8745;31.15518546104431;normal
300;0.8732833333333333;0.8746;30.794264554977417;normal
400;0.8755;0.8759;31.217008113861084;normal
500;0.8749833333333333;0.8732;31.82625293731689;normal
784;0.8784;0.8761;36.06770133972168;normal
